deg,deg_meanR,num
0,5.421244185146061,340
1,5.423725485235218,345
2,5.431939039115875,308
3,5.431399644469117,306
4,5.436732733164294,319
5,5.437322537165531,318
6,5.440964279559167,337
7,5.458597016268487,325
8,5.45835084922086,348
9,5.454866248694973,324
10,5.444095323218662,321
11,5.438579100801367,299
12,5.4412891048842065,290
13,5.446557893486306,211
14,5.448636514646771,189
15,5.44903044028527,241
16,5.442405402624264,237
17,5.434323368275705,256
18,5.430895679101174,297
19,5.432349012146117,335
20,5.434965823586842,317
21,5.445486158990424,328
22,5.450340890624817,359
23,5.456117513365722,388
24,5.463906229133323,337
25,5.464333189542311,381
26,5.463148593956196,281
27,5.449117735854409,252
28,5.444631007802814,263
29,5.4393645058495395,412
30,5.439479768118237,436
31,5.435871212096358,412
32,5.4382024284995545,447
33,5.438336081629327,583
34,5.439208637092247,454
35,5.439263131742632,513
36,5.438667201087383,504
37,5.436779518762503,487
38,5.435768831203366,476
39,5.437560919050233,512
40,5.434989377341148,678
41,5.43596156222445,733
42,5.4411986300671495,695
43,5.443957170661291,734
44,5.452809893289211,685
45,5.450255186208077,765
46,5.453443961293205,892
47,5.452545216472027,1140
48,5.451767707305815,1001
49,5.447039061779749,995
50,5.442009975672769,1226
51,5.44406868613805,1198
52,5.452025942522784,1102
53,5.460019622127043,1007
54,5.455869382615765,890
55,5.454254768195981,707
56,5.455341991749305,705
57,5.456881022995544,664
58,5.454403935691497,707
59,5.452133662903667,600
60,5.454408060745685,454
61,5.452401210514505,546
62,5.452122209765596,593
63,5.449036645425169,689
64,5.448082296164948,716
65,5.446034533943736,599
66,5.44787664161065,539
67,5.449249514268834,532
68,5.45098876806762,479
69,5.4484283864410115,506
70,5.44843705370159,352
71,5.4626849346201665,365
72,5.467413377480354,396
73,5.463428802902995,347
74,5.462803281586638,348
75,5.467630793153401,153
76,5.4652448218844265,201
77,5.460855932373552,256
78,5.4562095888084015,219
79,5.45324157874591,198
80,5.44660421826389,185
81,5.451293784767687,147
82,5.4511273666042195,237
83,5.4515155785880784,302
84,5.448007609400077,407
85,5.4451801703247815,343
86,5.44447281253336,357
87,5.44478846865362,268
88,5.4467331195930395,207
89,5.4483433783647195,195
90,5.445736792285437,217
91,5.448269102521129,300
92,5.444571741361597,307
93,5.443026333905677,333
94,5.441832848071115,296
95,5.442705060725879,311
96,5.441680033801538,319
97,5.443732386419267,315
98,5.440414389197675,314
99,5.434216705060497,300
100,5.431120873979179,292
101,5.429721332440668,241
102,5.427176908879818,221
103,5.434420437897846,260
104,5.424749332661548,239
105,5.420239600033623,229
106,5.430508848210899,211
107,5.439414874071773,248
108,5.442388787999643,251
109,5.448491365955338,326
110,5.438208091994384,365
111,5.438013928082716,298
112,5.432529081328709,294
113,5.447428974938323,298
114,5.444305636661821,307
115,5.443843364545759,304
116,5.438420977529966,297
117,5.42763740393623,313
118,5.4279869879064435,295
119,5.42301091685355,290
120,5.433372788561497,320
121,5.452064890311299,339
122,5.457358531670364,332
123,5.451976226116239,314
124,5.457068821440366,332
125,5.452071058321168,309
126,5.458900033081997,300
127,5.458593924819361,311
128,5.449120724208557,271
129,5.441587991312989,278
130,5.446223848417908,287
131,5.445163788553072,312
132,5.443233740372021,312
133,5.440288101049312,305
134,5.426878371986025,302
135,5.431982258291994,326
136,5.430347649546097,315
137,5.42537231672191,335
138,5.429079323057651,345
139,5.433274972801107,306
140,5.428995917210609,328
141,5.4348624841494715,360
142,5.444930592906419,341
143,5.456495926252901,348
144,5.4641990099071105,311
145,5.465736258098974,293
146,5.4667651276023514,259
147,5.457048801122694,264
148,5.4577192201084905,172
149,5.458541681300001,53
150,5.449156960433126,64
151,5.441750547492274,66
152,5.440214719069167,12
153,,0
154,,0
155,,0
156,,0
157,,0
158,,0
159,,0
160,,0
161,5.471207341617575,33
162,5.467808021650769,52
163,5.470194017396201,50
164,5.470288746740054,187
165,5.468454990805491,315
166,5.470185163736336,333
